datetime,wind_chill,day_of_year_cos,temp_monthly_anom,dew_roll14_mean,day_of_year_sin,day_length_hour,dew_roll56_mean,dewpoint_humidity_ratio,sealevelpressure_lag1,dew_roll84_std,index,dew_roll84_mean,humidity_roll56_std,month_sin,sealevelpressure_lag3,quarter,cloudcover_roll56_mean,cloudcover_roll84_std,windspeed_roll14_std,cloudcover_roll14_std,severe_index,dew_roll56_std,cloudcover_roll56_std,daylight_hours,heat_index_approx,cloudcover_roll84_mean,windspeed_roll14_mean,solar_expected_clear,humidity_roll56_mean,cloudcover_roll14_mean,sealevelpressure_lag5,humidity_roll84_std,sealevelpressure_change,windspeed_roll84_mean,humidity_roll7_std,humidity_roll14_std,humidity_roll84_mean,humidity_roll7_mean,dew_roll14_std,windspeed_roll56_std,windspeed_roll7_std,windspeed_roll84_std,dew_roll7_std,humidity_roll14_mean,winddir_cos,sealevelpressure_lag7,cloudcover_roll7_std,cloudcover_roll7_mean,humidity_change,windspeed_roll56_mean
2015-03-26,-0.7557118839095586,0.1931851913541045,-0.8816593167410616,-0.07349711565688284,1.3694268877403875,0.05260701847184071,-0.7346782719086092,-0.7696920718484326,1.5500124344199342,0.578967629204465,-1.7313995382066658,-1.0805323579321098,-0.7938482856145581,1.4065864378939104,0.6472111747410749,-1.350899191519135,1.8689301805419734,1.6768939821048545,-0.2917360901695667,-0.9668177912484281,-0.28833969160925305,0.6815156294503406,-0.4549933731121524,0.06138010632621068,0.5702987569206992,0.7261662117330625,0.1528228660147651,-1.0307928879786414,1.325646893732188,1.5815262764621527,0.6742956110290645,-0.6612517588872416,0.003688534588976517,0.3377911944934607,-1.0312438058775844,-1.359780210434575,0.8591771559124948,1.018152740584012,0.24011541006693565,1.590861365717938,-0.4070360962060294,1.4788565846869406,-0.019570021728983193,1.3680001661162824,0.5283427096262052,-0.2864681146707238,-0.41233227271915285,1.0357244089000075,0.3245058107720866,0.7671919203670989
2015-03-27,-0.45298355719297817,0.16898257874716527,-0.5702989502473528,-0.005488652429792785,1.3719206891919558,0.07521970229282741,-0.7346782719086092,-0.5168000090442493,1.5500124344199342,0.5489260869533988,-1.7300967545059835,-1.05472480223351,-0.794397587997859,1.4065864378939104,1.2111053426334542,-1.350899191519135,1.8705062055301247,1.499365514045738,0.05572887588349435,-0.9776855907930699,0.37770006013253726,0.6815156294503406,-0.4536296272073035,0.08021561731540913,0.6599150002228428,0.860626952407824,-0.07286323434660007,-0.905450096183899,1.3592365619784577,1.573249633598359,0.5896332137051836,-0.7587654498417543,-0.6774096231949505,0.31897155735633287,-1.1245580679820046,-1.3494203629822616,0.9291632600633016,1.1392285837931495,-0.1363223526018923,1.5739100726523805,0.06167238452526602,1.5294039757897973,-0.1153789665466692,1.3887692472222104,-0.42346416181063895,0.17952717022807693,-0.3767445442909952,1.1826592791619102,-0.2200577429312747,0.5910208332270032
2015-03-28,-0.4175997267975337,0.14474058578541393,-0.3367786753770714,0.046602936425000734,1.3739999808899963,0.09783238611381614,-0.7191632437730624,-0.29958053993296907,1.3387648273670791,0.5235463505637046,-1.7287939708053013,-1.025551043617701,-0.7913521315427927,1.4065864378939104,1.5494418433688786,-1.350899191519135,1.8559279743897157,1.4327236123282974,-0.027897604599528798,-1.0121072009944434,0.4637840399542101,0.6888213755070117,-0.46391238386645933,0.08021561731540913,-0.40549038662765874,0.9445902149180639,-0.04342591690816006,-0.2378279500461303,1.373683731116639,1.5324181954703076,0.6460748119211096,-0.848823309621038,-1.9033863072060397,0.29779946557706316,-1.1366417677605396,-1.470486185341026,0.9896551252789266,1.1234360825050023,-0.3643318725846888,1.516888566076806,0.34257691379400756,1.5786636183355083,-0.3685756790902895,1.3285389120150175,-0.8955563811509312,0.6737645936055997,-0.4016641247627669,1.1518210965143496,-0.5571685142714545,0.42137460116617054
2015-03-29,-0.13846062034458254,0.1204663566954458,-0.06433835469507589,0.07120174227309788,1.3756641500577014,0.12075913498787116,-0.68495061762801,-0.03588165025804574,0.7472715276190788,0.5258603097328739,-1.7274911871046192,-1.0039512415656113,-0.793465391968609,1.4065864378939104,1.5494418433688786,-1.350899191519135,1.8135723028331208,1.3970699878076875,-0.07004315682046458,-0.9777699214440164,0.9971081405173933,0.6537622327808422,-0.4671524300121279,0.11788663929380806,-0.2637548418896979,0.9870200486421012,0.2313223791839368,-0.8529658755500916,1.3588753827500024,1.414338090613509,1.2104907940804013,-0.8666266461433282,-1.4947274125356422,0.3636681955570117,-1.1091314927381848,-1.5476728743973627,1.011356242845067,1.1146624706782533,-0.43622852895091707,1.4328138619984256,0.6254578310111318,1.559718088407403,-0.5441309491840534,1.2319626848724474,-1.042133086280928,0.5890381781694658,-0.4605439528120689,1.1754032361860127,-0.2200577429312747,0.3822254706905944
2015-03-30,0.005040469592497933,0.09616704520399044,0.16918192017520547,0.07409571943169711,1.3769127062567792,0.14337181880885988,-0.6399968181583476,0.18372321173464626,0.2825267921028042,0.5484309938338507,-1.726188403403937,-0.9896448791674748,-0.7910382391043045,1.4065864378939104,1.3379815304092364,-1.350899191519135,1.8114052684744113,1.4005925029490554,-0.07677876321950194,-0.9920576457060124,1.1163539394125455,0.5932634699950847,-0.4693320448108889,0.1367221502830045,-0.6284451761030997,0.9906056683934278,0.44065441430172364,-0.7143724461326836,1.355624769693913,1.4060614477497144,1.5491403833759732,-0.866565497167818,-1.0860685178652962,0.39503425745222703,-1.0039885966295596,-1.544295625050056,1.011084978875491,1.086586912832658,-0.4347565918380893,1.4511451238919324,0.3855529099147288,1.5773346904361647,-0.44610482626883463,1.1385018198957666,-1.1052317719713944,0.6455224551268938,-0.9568702669187966,1.4338997672023235,-0.1681945473404812,0.4322493596316082
2015-03-31,0.14264425446367077,0.07184981242967818,0.43098975316026805,0.06975475369379681,1.377745281531987,0.1659845026298466,-0.5978277673283988,0.28804726726921415,-0.0554693791817606,0.5747358626982314,-1.7248856197032547,-0.9792657535060808,-0.7821916059747405,1.4065864378939104,0.7458926541222316,-1.350899191519135,1.7984030623221554,1.3927898039464164,0.2125866686721654,-1.0351277972656514,1.2387449830033275,0.5674703787985291,-0.4790694281088108,0.15555766127220297,-0.5079916794514316,0.9819404206610537,0.5584036840554788,-0.45585543002649276,1.3444282136118182,1.3707477715308578,1.5491403833759732,-0.8760516985153624,-0.8590357986039873,0.496189807064287,-0.7816505354868258,-1.4815155882400373,0.9899263892485027,0.9672657919888658,-0.44692865473002696,1.4442286683652628,1.1316242100926912,1.6405334492028083,-0.25130513898192586,1.0512716792508667,-0.7987677044210997,1.2103652247012056,-0.9552081319605216,1.4284577349704,0.05222403392040597,0.601895591692443
2015-04-01,0.18195962156972004,0.04752182477262146,0.3443221263279163,0.0726487308523975,1.3781616305195699,0.18859718645083332,-0.5636151411833471,0.3045555992140188,-0.32304968144870705,0.6023314459168918,-1.7235828360025724,-0.9702892123935242,-0.7755960181567066,1.215774052345262,0.28067996561102515,-0.44335979024339484,1.7824458093171127,1.3854254969395954,0.5042905101974686,-1.0458331174694582,-1.4304737654307156,0.5841277098510365,-0.49088621896860835,0.19322868325059786,-0.3595964461966751,0.9732751729286815,0.7055902712476739,-0.3811411715254733,1.32456335604682,1.3564015905669478,1.3374843900662388,-0.8857934303646653,-1.0406619740130758,0.618517448455619,-0.9702467210878835,-1.4162822203854266,0.9703953834389708,0.7672274423389867,-0.4361978434763235,1.390082861484543,1.5825681438172368,1.6353715084007463,-0.03966884557137381,1.0045412467625252,-0.622140922905184,1.5492708864457894,-0.977538741441585,1.3722234019072037,0.3245058107720866,0.7791541546790819
2015-04-02,0.43357797104843654,0.023190251802447596,0.5583823782923413,0.08422463948679589,1.3781616305195699,0.21089580521875173,-0.5234351965246226,0.5158830192429347,-0.646962678929761,0.6456138087443396,-1.7222800523018902,-0.9453232074242262,-0.7971425632483147,1.215774052345262,-0.05765653512439925,-0.44335979024339484,1.7639275157063221,1.3737279464731502,0.730599940721399,-1.0879367082259155,-1.4304737654307156,0.600204806170683,-0.5044956454834577,0.2120641942397943,-0.15169834380269143,0.9601279005071461,0.8233395410014274,0.837556984699055,1.2953078385420023,1.4132345382316682,0.744847608798976,-0.8965700136971072,-1.5401339563879142,0.6255748123820398,-1.0206274392984274,-1.4351877494151795,0.9877562774918878,0.7040574371863939,-0.3840830504241607,1.4179170552716047,1.5964473503695027,1.6574494822005643,-0.10964546951959732,1.017002695426083,-0.24362737327152878,1.5492708864457894,-1.0540407960819411,1.2905929184283687,-0.36268153080596605,0.7889414372979743
2015-04-03,0.5475925356559795,-0.0011377358546088075,0.5973024241040548,0.10158850243839349,1.3777452815319873,0.23382255409280875,-0.4621707264509243,0.5695029513304173,-1.1257905882495625,0.6658535757758692,-1.7209772686012081,-0.9080144584251632,-0.8222188799011844,1.215774052345262,-0.3255062648732762,-0.44335979024339484,1.7180257879263825,1.3768890177386037,0.8624218664910398,-0.8205985482155572,0.47540777035109993,0.5150629586682368,-0.4585493830198791,0.23089970522899075,0.16680849830508082,0.9226282939411865,0.9476304368526142,2.7575969700888403,1.3101161869086415,1.318880809584414,0.27920442351756675,-0.9411663221139693,-0.9044423424562594,0.6914435423619907,-1.2720037619063052,-1.3885458588538617,1.0129838266625268,0.5478871466702575,-0.3061052059192892,1.4548539977645316,0.70505940450936,1.7019266106021675,-0.20136945398923808,0.9962336143201549,-0.1797876257453169,1.3374548478554225,-0.4635842380346349,0.9885601295566814,-0.2589551396243735,0.8085160025357656
2015-04-04,0.4178518242060164,-0.025454968628921687,0.5778424011981976,0.11895236538999109,1.3769127062567792,0.25612117286072517,-0.3909607255211053,0.5264597611514914,-1.4074540643200357,0.6712802557001426,-1.7196744849005259,-0.8695836417870303,-1.1407974249269877,1.215774052345262,-0.649745411411404,-0.44335979024339484,1.6949764224746555,1.4883114404917561,0.8186897146651051,0.3694543990186132,-1.4304737654307156,0.30872322597633534,-0.3414900643469984,0.2685707272073857,-0.3291935203591138,0.825816560655358,1.0653797066063693,2.520010844580438,1.3791014195434559,0.9298785949860823,-0.05944516577800513,-0.9508561824043127,0.9118194116342125,0.7204571496150618,-1.5211629105922735,-1.3223074960050194,1.019765425901948,0.3864526890580749,-0.2440229291887621,1.425631265262793,-0.9857373253993879,1.7022793619432695,-0.33587746518144795,0.8913497547352163,-0.3517206889179791,0.7443699398023886,1.293940784189745,0.3799595249533691,0.23374521848819246,0.868327174095674
